,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3628,CHEMBL584109,280.0,nM,CCc1cc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)ccc1OC,6.552841968657781,381.241627232,4,1,3.4560000000000013,True
3629,CHEMBL3940148,280.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3cnc(OCC(F)F)cn3)cs2)CO1,6.552841968657781,470.10063694,10,2,2.5111000000000008,True
3630,CHEMBL401067,280.0,nM,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(-c2ccccc2C(C)=O)c1,6.552841968657781,604.25489226,5,3,6.465500000000008,False
3631,CHEMBL82607,281.0,nM,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(F)(F)C(F)F)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,6.55129368009492,768.383360884,8,6,3.641700000000002,False
3632,CHEMBL3975536,282.0,nM,COCC(F)(F)c1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)nc1,6.549750891680639,483.12103803600013,9,2,3.210400000000001,True
3633,CHEMBL402576,283.0,nM,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)N[C@H]1CC[C@H](O)CC1,6.548213564475709,474.299476456,3,3,4.357300000000003,True
3634,CHEMBL3688662,283.0,nM,Cc1cc(C(F)F)cnc1C(=O)Nc1cnc(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,6.548213564475709,423.13183766400005,6,2,3.012220000000001,True
3635,CHEMBL3653713,284.0,nM,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CC21CCC1,6.546681659952963,350.129824288,4,1,4.112900000000002,True
3636,CHEMBL4111536,285.0,nM,CC(C)(C)COc1cc(F)c2c(c1)[C@@]1(COCCC(N)=N1)c1cc(-c3cccnc3F)ccc1O2,6.54515513999149,479.2020481640001,6,1,5.5785000000000045,True
3637,CHEMBL3703282,285.0,nM,COc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)c1,6.54515513999149,381.16885621599994,7,1,2.4850000000000003,True
3638,CHEMBL200195,285.0,nM,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(=O)NCc1ccccc1,6.54515513999149,645.4101490999999,7,6,3.067700000000004,False
3639,CHEMBL1270263,290.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)CF)c2)CC1,6.537602002101044,448.233762892,3,3,3.898900000000003,True
